date,reserve_x,netflow_total_x,transactions_count_inflow_x,transactions_count_outflow_x,addresses_count_inflow,addresses_count_outflow,exchange_whale_ratio,fund_flow_ratio_x,estimated_leverage_ratio,stablecoin_supply_ratio,reserve_y,reserve_usd,netflow_total_y,open_interest,taker_buy_volume,taker_sell_volume,taker_buy_ratio,taker_sell_ratio,taker_buy_sell_ratio,transactions_count_inflow_y,addresses_count_active,addresses_count_sender,addresses_count_receiver,hashrate,price_usd_close
2019.4.19,2737904.318,2603.954002,43479,21173,50920,49467,0.39842511,0.03851431,0.12917884,28.71661582,41607.50987,219942290.1,301.724522,492763656,663383032,636547274,0.510322,0.489678,1.04215831,43479,791185,505492,597102,48305437775,5287.713333
2019.4.20,2736387.713,-1516.604577,34847,18301,39658,33568,0.41776958,0.04787369,0.1318959,28.80521339,41703.84121,221706794.7,96.33133908,503846384,556619124,544823447,0.50535465,0.49464535,1.02165046,34847,689000,478547,456535,41631660188,5305.81
2019.4.21,2738006.516,1618.802853,40760,24041,45054,29090,0.46460058,0.07664547,0.13382859,28.60415277,41761.37375,221608087.1,57.5325405,509670900,613534217,647984489,0.48634571,0.51365429,0.94683473,40760,683512,487685,426635,51161359685,5291.893333
2019.4.22,2742288.919,4282.40292,48572,26733,51593,30948,0.406498,0.04921888,0.13247696,28.91537672,40917.65031,219967968.8,-843.7234416,513701644,927852443,825882584,0.5290722,0.4709278,1.12346774,48572,645237,410660,498677,42318655542,5386.635
2019.4.23,2744047.967,1759.047758,50001,24251,54059,53744,0.30587214,0.05099045,0.13852969,29.08374654,41215.76387,228585614.6,298.1135582,550351524,1263393642,1209032527,0.51099348,0.48900652,1.04496249,50001,715618,445725,548495,36634060021,5524.39
2019.4.24,2746067.692,2019.72498,58089,28383,60840,54938,0.36793756,0.08404921,0.14482839,27.77600574,41044.65332,222533575.5,-171.1105494,563247461,1198272548,1351090347,0.47002824,0.52997176,0.88689298,58089,880292,595155,645497,51477170547,5445.175
2019.4.25,2746438.316,370.6242668,51050,24396,53619,32546,0.3808019,0.08820668,0.14019081,25.83521292,40697.71287,210444007,-346.94045,514896818,1176493026,1305871090,0.47394055,0.52605945,0.90092585,51050,754032,482788,577192,45160953302,5175.5275
2019.4.26,2733008.515,-13429.80093,53496,25553,58872,37952,0.38330735,0.13789169,0.14592271,26.44457131,40965.47882,215199136.4,267.7659499,547425838,1390417103,1392901575,0.49955369,0.50044631,0.99821633,53496,769122,501403,593582,47687440200,5259.3775
2019.4.27,2728901.938,-4106.576737,36787,16986,39641,27472,0.44105576,0.09627984,0.14838771,26.5808664,41180.97137,219067256.2,215.4925501,559540120,468764051,437806638,0.51707391,0.48292609,1.07071024,36787,614086,393580,460858,43266088128,5289.396667
2019.4.28,2722818.935,-6083.003485,37474,19487,42514,27701,0.47369669,0.08971526,0.15572194,26.70120553,41933.49807,221507832.8,752.5266979,585763442,515410216,574912494,0.47271346,0.52728654,0.89650203,37474,594401,375355,445740,51477170547,5316.44
2019.4.29,2706960.379,-15858.55607,47882,28657,55456,33847,0.44309887,0.13117145,0.15610388,26.51999022,41693.73135,220511057.2,-239.7667133,584285828,609678465,634648309,0.48996652,0.51003348,0.96065562,47882,793479,515179,573018,51477170547,5288.83
2019.4.30,2715174.42,8214.041915,48436,21072,53358,82760,0.49032491,0.07008999,0.15733351,26.84106219,41512.94443,222630288.6,-180.7869272,596555243,766028234,629142540,0.54905697,0.45094303,1.21757501,48436,837464,564159,604308,44213520715,5366.005683
2019.5.1,2717193.726,2019.305543,41710,19373,44413,29522,0.49589446,0.07344982,0.16009108,27.02117659,42174.13326,228046609.3,661.1888386,612841514,641162429,579773175,0.52514025,0.47485975,1.10588495,41710,765613,499908,565422,54003657445,5414.2875
2019.5.2,2711967.339,-5226.386977,43726,19051,47682,58412,0.39315436,0.10328843,0.16536738,27.47155291,41816.71799,231860877.5,-357.4152732,645332363,800048377,736516831,0.52067323,0.47932677,1.08625946,43726,790965,529147,584881,58109198654,5499.295
2019.5.3,2717392.081,5424.742001,51113,20879,56337,45782,0.39543121,0.10346219,0.13940573,28.93897887,42101.91906,244851990.3,285.2010705,578255818,2206805062,2037338882,0.51996471,0.48003529,1.08318016,51113,803538,535217,615416,48003251062,5815.696667
2019.5.4,2719752.967,2360.886443,39349,19512,41947,37396,0.39345922,0.0901425,0.12929234,29.13736535,40933.40057,240261767,-1168.518487,542758230,1670538590,1640918895,0.5044723,0.4955277,1.01805068,39349,660283,427592,508305,43978000711,5865.265
2019.5.5,2714871.381,-4881.586334,35793,20118,38495,25300,0.42550028,0.08831988,0.14214831,29.01013571,40738.65621,237279349.6,-194.7443613,591429196,1031606613,1095750215,0.48492411,0.51507589,0.94146147,35793,617825,399210,460626,42978500695,5844.294041
2019.5.6,2711951.098,-2920.283059,46169,23668,48855,42688,0.39610096,0.07591861,0.14998162,28.71647612,40899.8713,236685305.7,161.2150847,614372003,1213625586,1221865754,0.49830832,0.50169168,0.99325608,46169,769267,511762,573067,50308167480,5787.7475
2019.5.7,2695624.368,-16326.72965,49142,27106,50158,45812,0.31251332,0.07515507,0.14008162,29.04547165,42531.56757,252270251.3,1631.696268,576394374,1806264993,1677232076,0.5185206,0.4814794,1.07693206,49142,759345,482015,578859,42312167351,5859.9975
2019.5.8,2688645.572,-6978.796456,45192,35016,46108,39511,0.43095226,0.07442047,0.14071869,29.78295531,42802.29652,257662869.7,270.7289561,594167500,1192770718,1096240796,0.5210855,0.4789145,1.0880554,45192,839338,555566,635595,50641334152,6019.2
2019.5.9,2694657.461,6011.888746,48403,31992,49704,36008,0.46829281,0.08003915,0.1417896,30.57891132,42378.69708,262848147.5,-423.5994381,615415380,1426190790,1307543552,0.52170058,0.47829942,1.09074056,48403,826117,533946,619089,49975000808,6193.2925
2019.5.10,2694636.973,-20.48752775,47693,28429,54822,40062,0.44412611,0.0815366,0.15245365,31.07134413,45381.70489,289777312.9,3003.007802,683779565,2079169702,1987197317,0.51130891,0.48869109,1.04628246,47693,784390,469099,618181,41645834007,6373.5675
2019.5.11,2693727.993,-908.9797611,52609,25982,49651,35849,0.44949925,0.11350207,0.11844408,34.84921147,42313.57905,304732805.3,-3068.125834,598810186,4193997646,3668348676,0.53342825,0.46657175,1.14329308,52609,775129,500456,573740,43311667367,7157.3425
2019.5.12,2700449.96,6721.966778,49936,25440,50371,28112,0.4613224,0.1111319,0.10811302,33.90366188,42506.81399,296550594.4,193.2349394,535481753,4005431059,4227976705,0.4864852,0.5135148,0.94736356,49936,824701,565204,551670,52640334185,6976.5425
2019.5.13,2700153.201,-296.7595261,61081,25362,60860,34942,0.40539172,0.10206127,0.10283492,37.6664501,42965.36618,334824694.7,458.5521871,573725017,3803062088,3523178876,0.51910142,0.48089858,1.07944053,61081,876062,578004,648758,55638834233,7799.56
2019.5.14,2701477.386,1324.185245,61782,26103,63978,54797,0.44450911,0.09879673,0.09869019,38.33349115,41910.4792,336808956,-1054.886974,570361297,3343694294,3427943512,0.49377926,0.50622074,0.97542281,61782,902407,567494,669387,50641334152,7972.295
2019.5.15,2715294.11,13816.72435,75697,32854,77580,65094,0.43341917,0.06828054,0.09860229,38.8379065,41365.29119,338677597.8,-545.1880108,582092048,2490857444,2371455816,0.51227827,0.48772173,1.05034951,75697,877510,533105,675924,49641834136,8169.941392
2019.5.16,2722826.166,7532.055916,77341,35419,80149,63959,0.38528814,0.11747267,0.10593489,37.35130335,41419.87768,324338041.5,54.5864872,606372448,2230030139,2462331003,0.47524691,0.52475309,0.90565815,77341,882376,539306,682195,48642334120,7871.4875
2019.5.17,2719613.839,-3212.327388,69015,30363,74872,63725,0.34141632,0.11000363,0.08289737,34.91258705,41821.02608,308299899.4,401.1484017,444209483,2728476958,3044876503,0.47259829,0.52740171,0.89608789,69015,907033,581371,676114,50308167480,7371.8875
2019.5.18,2717859.995,-1753.844229,50415,24598,53467,37387,0.38041298,0.07495427,0.08995587,34.30818612,40897.70108,297291932.8,-923.325003,474239572,1271347064,1307278186,0.49303289,0.50696711,0.97251456,50415,855044,570697,588537,50993232043,7261.2375
2019.5.19,2725693.513,7833.518852,51495,28196,54274,37928,0.39316153,0.08980378,0.0889332,38.60222838,39809.78293,328241015.6,-1087.918148,528956329,2628727002,2310077410,0.53225979,0.46774021,1.13793892,51495,748605,492625,516882,54326123026,8182.92
2019.5.20,2727411.886,1718.372822,64533,35528,66989,60353,0.41426572,0.09052974,0.08721012,37.34524163,39273.91067,312502900,-535.8722597,509088277,2502795194,2676921115,0.48319156,0.51680844,0.93495291,64533,833741,531749,617259,53659544829,7983.3225
2019.5.21,2729079.465,1667.578366,67350,39150,69822,57692,0.35989932,0.09298137,0.08849039,36.74723903,39606.34637,315274636.4,332.4356927,516128367,1633056079,1653608655,0.49687334,0.50312666,0.98757108,67350,885569,574427,657479,50993232043,7935.045369
2019.5.22,2724523.27,-4556.194188,63993,44072,66854,54101,0.38819646,0.08396429,0.08973176,35.0834879,39572.73812,304491938.8,-33.60824699,503223103,1602282749,1778319373,0.47396372,0.52603628,0.90100956,63993,872877,572886,646118,55659279419,7624.9775
2019.5.23,2733456.122,8932.851955,57700,33788,60757,47560,0.43810958,0.08819159,0.08476174,35.87525134,39652.31052,312067549.9,79.57240181,492417206,1761698160,1635979940,0.51850061,0.48149939,1.07684582,57700,833107,537152,630245,52659677535,7870.0975
2019.5.24,2736815.975,3359.852544,64317,36790,67509,51685,0.41316082,0.08041631,0.09444974,35.89937964,40268.43297,322027866.5,616.122451,559758976,1504604658,1428423061,0.51298685,0.48701315,1.05333266,64317,860958,569502,644203,50993232043,7985.523333
